title,country,mbfc_page,bias_raw,Factual,Ideology,url
Anthropocene Magazine,USA,leftcenter,leftcenter09,High,LC,https://www.anthropocenemagazine.org/
Anti Defamation League (ADL),USA,leftcenter,leftcenter02,High,LC,https://www.adl.org
Areo Magazine,UK,leftcenter,leftcenter09,High,LC,https://areomagazine.com
APM Reports,USA,leftcenter,leftcenter08,High,LC,https://www.apmreports.org/
AOL,,leftcenter,leftcenter04,High,LC,https://www.aol.com/
Arizona Daily Star,USA,leftcenter,leftcenter06,High,LC,https://tucson.com/
Arizona Republic,USA,leftcenter,leftcenter09,High,LC,https://www.azcentral.com
Arizona Daily Sun,USA,leftcenter,leftcenter11,High,LC,https://azdailysun.com
Arkansas Times,,leftcenter,leftcenter01,High,LC,https://www.arktimes.com
Asheville Citizen Times,USA,leftcenter,leftcenter11,High,LC,https://www.citizen-times.com/
Arms Control Association,USA,leftcenter,leftcenter09,High,LC,https://www.armscontrol.org
ARTE,France/Germany,leftcenter,leftcenter03,MostlyFactual,LC,https://www.arte.tv/
Asia Sentinel,USA,leftcenter,leftcenter02,Mixed,LC,https://www.asiasentinel.com/
Asian Correspondent,UK,leftcenter,leftcenter09,High,LC,https://asiancorrespondent.com/
Atavist Magazine,USA,leftcenter,leftcenter10,Veryhigh,LC,https://magazine.atavist.com/
Atlanta Black Star,,leftcenter,leftcenter03,High,LC,https://atlantablackstar.com/
ATTN:,,leftcenter,leftcenter07,High,LC,https://www.attn.com/
The Atlantic,USA,leftcenter,leftcenter06,High,LC,https://www.theatlantic.com/
Atlantic Media,,leftcenter,leftcenter11,High,LC,www.govexec.com
Atlanta Journal Constitution,USA,leftcenter,leftcenter11,High,LC,https://www.ajc.com/
AV Club,USA,leftcenter,leftcenter04,High,LC,https://www.avclub.com/
Austin Daily Herald (Minnesota),USA,leftcenter,leftcenter10,High,LC,https://www.austindailyherald.com/
Austin American Statesman,USA,leftcenter,leftcenter10,High,LC,https://www.statesman.com/
Axios,USA,leftcenter,leftcenter09,High,LC,https://www.axios.com/
Balkan Insight,UK,leftcenter,leftcenter04,High,LC,https://balkaninsight.com/
BackChannel,,leftcenter,leftcenter10,Veryhigh,LC,https://backchannel.com/
Baltimore Sun,USA,leftcenter,leftcenter06,High,LC,https://www.baltimoresun.com/
Bangor Daily News,USA,leftcenter,leftcenter09,High,LC,https://bangordailynews.com/
Baptist News Global,USA,leftcenter,leftcenter10,High,LC,https://baptistnews.com/
Battle Creek Enquirer,USA,leftcenter,leftcenter10,High,LC,https://www.battlecreekenquirer.com
Bellingham Herald,USA,leftcenter,leftcenter05,High,LC,https://www.bellinghamherald.com/
BBC,UK,leftcenter,leftcenter11,High,LC,https://www.bbc.com/news
Berkeleyside,USA,leftcenter,leftcenter05,High,LC,https://www.berkeleyside.com/
Berkshire Eagle,USA,leftcenter,leftcenter07,High,LC,https://www.berkshireeagle.com/
